Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Bradley Beal,29,"$33,724,200","$37,262,300",,,,,Cap Space,"$33,724,200",Wizards
Kristaps Porziņģis,26,"$31,650,600","$33,833,400","$36,016,200",,,,Bird Rights,"$65,484,000",Wizards
Kentavious Caldwell-Pope,29,"$13,038,862","$14,004,703",,,,,Early Bird,"$17,926,980",Wizards
Kyle Kuzma,26,"$13,000,000","$13,000,000","$13,000,000",,,,Bird,"$26,000,000",Wizards
Thomas Bryant,24,"$8,666,667",,,,,,Early Bird Rights,"$8,666,667",Wizards
Rui Hachimura,24,"$4,916,160","$6,263,188",,,,,1st Round Pick,"$11,179,348",Wizards
Deni Avdija,21,"$4,692,840","$4,916,160","$6,263,188",,,,1st Round Pick,"$9,609,000",Wizards
Ish Smith,33,"$4,500,000","$4,725,000",,,,,Room Exception,"$4,500,000",Wizards
Corey Kispert,23,"$3,383,640","$3,552,960","$3,722,040","$5,705,887",,,1st Round Pick,"$6,936,600",Wizards
Raul Neto,30,"$2,089,448",,,,,,Minimum Salary,"$2,089,448",Wizards
Daniel Gafford,23,"$1,782,621","$1,930,681","$12,402,000","$13,394,160","$14,386,320",,Minimum Salary,"$43,895,782",Wizards
Anthony Gill,29,"$1,517,981",,,,,,Minimum Salary,"$1,517,981",Wizards
Vernon Carey Jr.,21,"$1,517,981","$1,782,621","$1,930,681",,,,Cap Space,"$3,300,602",Wizards
Isaiah Todd,20,"$1,500,000","$1,563,518","$1,836,096","$1,988,598",,,MLE,"$4,899,614",Wizards
Tomáš Satoranský,30,"$468,119",,,,,,Minimum Salary,"$468,119",Wizards
Jordan Schakel,24,,,,,,,Two-Way Contract,"$53,176",Wizards
Cassius Winston,24,,,,,,,Two-Way Contract,,Wizards
Rudy Gobert,30,"$35,344,828","$38,172,414","$41,000,000","$43,827,587","$46,655,173",,Bird,"$158,344,829",Jazz
Donovan Mitchell,25,"$28,103,500","$30,351,780","$32,600,060","$34,848,340","$37,096,620",,Bird,"$125,903,680",Jazz
Mike Conley,34,"$21,000,000","$22,680,000","$24,360,000",,,,Bird,"$58,000,000",Jazz
Bojan Bogdanović,33,"$18,502,000","$19,343,000",,,,,Cap Space,"$37,845,000",Jazz
Jordan Clarkson,30,"$12,420,000","$13,340,000","$14,260,000",,,,Bird,"$25,760,000",Jazz
Royce O'Neale,29,"$8,800,000",,,,,,Cap space,"$8,800,000",Jazz
Rudy Gay,35,"$5,890,000","$6,184,500","$6,479,000",,,,Mini MLE,"$12,074,500",Jazz
Nickeil Alexander-Walker,23,"$3,261,480","$5,009,633",,,,,1st Round Pick,"$8,271,113",Jazz
Hassan Whiteside,33,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",Jazz
Udoka Azubuike,22,"$2,075,880","$2,174,880","$3,923,484",,,,1st Round Pick,"$4,250,760",Jazz
Eric Paschall,25,"$1,782,621",,,,,,MLE,"$1,782,621",Jazz
Jared Butler,21,"$925,258","$1,563,518",,,,,Minimum Salary,"$2,488,776",Jazz
