Player,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ","TOV
FREQ","SF
FREQ","AND ONE
FREQ","SCORE
FREQ",PERCENTILE
Luka Doncic,DAL,65,6.3,21.40%,1.11,7,2.3,4.9,47.30%,57.10%,15.40%,9.80%,11.50%,3.40%,48.00%,91.3
Shai Gilgeous-Alexander,OKC,56,6.8,27.70%,1.03,7,2.3,5.3,44.10%,49.20%,18.50%,8.10%,15.70%,4.20%,48.00%,80.3
DeMar DeRozan,CHI,76,4.3,16.50%,1.13,4.8,1.7,3.4,50.60%,51.10%,21.10%,5.60%,19.50%,7.40%,54.50%,93.3
James Harden,BKN,44,7.6,31.80%,1.06,8.1,2.2,5.8,37.80%,47.00%,20.20%,8.90%,19.30%,4.80%,43.80%,85.4
Pascal Siakam,TOR,68,5.4,23.60%,0.9,4.9,1.9,4.3,45.20%,45.50%,14.40%,10.10%,12.50%,3.50%,45.90%,56.3
Trae Young,ATL,76,4.4,16.20%,0.98,4.3,1.5,3.7,40.50%,47.30%,11.00%,7.70%,8.30%,1.80%,42.90%,72
Jayson Tatum,BOS,76,4.7,18.10%,0.91,4.3,1.5,3.9,37.20%,44.50%,9.30%,7.90%,8.10%,0.80%,39.60%,58.3
Kevin Durant,BKN,55,5.2,19.50%,1.1,5.7,2.2,4.3,51.30%,55.60%,10.10%,10.40%,8.30%,1.70%,50.00%,89.8
Giannis Antetokounmpo,MIL,67,4.8,17.90%,0.96,4.6,1.7,3.6,47.10%,50.20%,17.00%,12.40%,15.80%,3.70%,47.10%,67.7
Julius Randle,NYK,72,4.9,21.00%,0.86,4.2,1.5,3.9,39.40%,41.80%,12.90%,10.30%,11.40%,2.90%,41.40%,44.9
Joel Embiid,PHI,68,4.4,15.90%,0.95,4.2,1.5,3.4,43.10%,45.00%,15.90%,8.60%,15.30%,2.70%,46.20%,66.9
Russell Westbrook,LAL,78,3.8,17.20%,0.91,3.4,1.4,2.8,47.70%,49.30%,12.60%,14.30%,11.20%,2.40%,45.60%,57.1
Anthony Edwards,MIN,72,3.9,18.10%,0.91,3.5,1.2,3.3,37.00%,46.40%,8.90%,8.60%,8.20%,2.50%,37.90%,56.7
LeBron James,LAL,56,4.3,15.50%,1.03,4.4,1.7,3.6,46.00%,53.20%,10.90%,9.20%,10.90%,4.60%,44.80%,80.7
Karl-Anthony Towns,MIN,74,2.7,12.50%,1.13,3.1,1.2,2.2,53.80%,56.30%,18.20%,9.90%,15.80%,6.90%,52.70%,92.9
Devin Booker,PHX,68,3.3,13.00%,0.92,3,1.2,2.9,41.70%,46.00%,6.70%,7.10%,6.20%,2.20%,41.30%,59.8
Zach LaVine,CHI,67,2.9,13.00%,1.02,3,1,2.4,42.10%,49.10%,14.30%,8.20%,14.30%,3.60%,44.40%,79.1
Jrue Holiday,MIL,67,2.7,15.10%,1.01,2.8,1.1,2.2,49.30%,55.50%,9.20%,12.00%,8.20%,0.50%,47.30%,77.2
Darius Garland,CLE,68,2.5,11.50%,1.06,2.7,1,1.9,50.00%,57.60%,10.40%,14.50%,8.10%,1.20%,47.40%,85.8
Ja Morant,MEM,57,3.1,11.20%,0.99,3.1,1.1,2.5,43.00%,48.60%,13.70%,6.90%,10.90%,1.70%,46.90%,72.8
James Harden,PHI,21,7.4,35.30%,1.07,7.9,1.9,5.1,37.40%,45.30%,27.70%,8.40%,25.80%,5.20%,47.10%,87
Jimmy Butler,MIA,58,2.8,14.50%,1.01,2.9,1,2.2,44.50%,46.10%,20.00%,6.70%,18.80%,5.50%,49.10%,77.6
De'Aaron Fox,SAC,59,2.6,11.00%,1.06,2.8,1,2.1,49.20%,52.50%,15.50%,7.70%,14.80%,1.90%,51.60%,86.2
Kyrie Irving,BKN,29,5.5,21.80%,1.01,5.6,2.2,4.8,45.00%,48.60%,9.40%,5.60%,8.10%,2.50%,46.30%,78
Reggie Jackson,LAC,75,2.8,14.30%,0.77,2.1,0.8,2.4,33.50%,37.20%,7.20%,7.70%,7.20%,0.50%,34.90%,30.7
Donovan Mitchell,UTA,67,2.3,9.00%,1.04,2.4,0.9,1.9,44.50%,52.70%,9.20%,9.20%,7.20%,2.00%,44.40%,82.7
Khris Middleton,MIL,66,2.6,13.20%,0.9,2.4,0.8,2.2,39.40%,44.70%,9.80%,10.30%,8.60%,1.70%,40.20%,53.2
Dejounte Murray,SAS,68,2.5,11.30%,0.89,2.3,0.9,2,42.00%,43.10%,12.20%,11.00%,12.20%,3.50%,42.40%,51.2
Miles Bridges,CHA,80,1.9,10.10%,0.99,1.9,0.7,1.6,44.80%,48.40%,13.80%,7.90%,13.80%,4.60%,46.10%,72.4
Marcus Morris Sr.,LAC,54,2.9,18.90%,0.98,2.8,1,2.4,42.30%,45.00%,12.30%,3.90%,9.70%,0.60%,46.80%,71.7
Jordan Clarkson,UTA,79,1.9,11.70%,0.97,1.9,0.6,1.5,41.70%,48.30%,12.50%,11.80%,11.20%,3.30%,42.10%,70.9
Jalen Brunson,DAL,79,1.9,12.40%,0.95,1.8,0.7,1.6,45.70%,47.70%,8.70%,7.30%,7.30%,2.00%,46.00%,65.4
Stephen Curry,GSW,64,1.8,7.60%,1.2,2.2,0.8,1.6,53.00%,63.00%,7.70%,6.80%,6.00%,0.00%,53.00%,96.1
Jaylen Brown,BOS,66,2,8.80%,1.05,2.1,0.8,1.8,46.20%,52.60%,8.20%,6.00%,6.70%,1.50%,47.00%,83.9
Jalen Green,HOU,67,2,11.10%,1.02,2,0.6,1.6,38.70%,45.80%,19.80%,5.30%,19.10%,6.10%,45.00%,79.9
Christian Wood,HOU,68,2.1,12.40%,0.93,2,0.7,1.8,41.20%,48.30%,14.00%,4.90%,11.20%,2.10%,42.70%,62.6
Brandon Ingram,NOP,55,3.2,14.00%,0.75,2.4,0.8,2.5,31.90%,33.00%,16.40%,9.60%,12.40%,2.30%,38.40%,27.2
Damian Lillard,POR,29,4.4,18.10%,1.01,4.5,1.4,3.4,41.40%,46.50%,16.30%,8.50%,9.30%,1.60%,46.50%,78.3
D'Angelo Russell,MIN,65,1.8,9.40%,1.04,1.9,0.7,1.6,43.40%,51.40%,6.80%,2.60%,3.40%,0.00%,45.30%,83.5
Cade Cunningham,DET,64,2.2,10.30%,0.85,1.8,0.6,1.7,38.00%,42.10%,10.90%,10.90%,9.40%,0.00%,40.60%,42.9
Scottie Barnes,TOR,74,1.8,11.50%,0.87,1.6,0.6,1.5,42.70%,44.50%,12.00%,8.30%,10.50%,3.00%,44.40%,45.7
Paul George,LAC,31,4.5,16.90%,0.83,3.7,1.5,3.9,37.20%,43.80%,5.80%,8.60%,5.80%,1.40%,36.70%,38.6
Bradley Beal,WAS,40,3.2,12.80%,0.9,2.9,1.1,2.6,43.70%,47.10%,7.90%,11.80%,6.30%,0.80%,42.50%,53.9
Anfernee Simons,POR,57,2.6,15.40%,0.76,1.9,0.7,2.1,34.40%,39.30%,6.80%,11.60%,5.40%,1.40%,34.00%,28
Saddiq Bey,DET,82,1.5,8.90%,0.9,1.3,0.5,1.2,37.60%,43.60%,10.10%,5.90%,9.20%,0.80%,41.20%,54.3
Dennis Schroder,BOS,49,2.4,15.40%,0.91,2.2,0.8,1.8,41.60%,43.30%,16.40%,9.50%,15.50%,2.60%,44.80%,59.4
Jordan Poole,GSW,76,1.5,8.60%,0.9,1.4,0.5,1.2,40.20%,44.00%,10.30%,12.10%,8.60%,1.70%,40.50%,53.2
Kevin Porter Jr.,HOU,61,2.1,11.80%,0.8,1.7,0.6,1.8,33.00%,41.70%,5.50%,8.70%,5.50%,0.00%,33.90%,34.6
Tyler Herro,MIA,66,2,9.30%,0.78,1.5,0.5,1.7,32.10%,35.70%,9.30%,5.40%,7.80%,1.60%,35.70%,33.1
Evan Mobley,CLE,69,1.6,10.30%,0.91,1.4,0.6,1.3,46.00%,47.10%,12.70%,10.90%,12.70%,2.70%,44.50%,57.7
Andrew Wiggins,GSW,73,1.5,9.20%,0.87,1.3,0.5,1.2,39.30%,43.30%,17.70%,8.80%,16.80%,5.30%,41.60%,46.5
Fred VanVleet,TOR,65,2,9.40%,0.76,1.5,0.6,1.6,36.30%,43.60%,3.90%,16.50%,3.10%,0.80%,32.30%,29.9
LaMelo Ball,CHA,75,1.3,6.30%,0.96,1.3,0.5,1.1,43.20%,46.30%,15.00%,9.00%,14.00%,5.00%,45.00%,68.4
Gary Trent Jr.,TOR,70,1.3,7.60%,1,1.3,0.5,1.2,38.80%,47.10%,7.40%,2.10%,7.40%,0.00%,42.60%,75.9
Nikola Jokic,DEN,74,1.1,4.70%,1.07,1.2,0.4,0.8,51.60%,53.20%,17.90%,10.70%,14.30%,2.40%,53.60%,87.7
RJ Barrett,NYK,70,1.5,6.90%,0.85,1.3,0.4,1.2,36.00%,37.20%,17.00%,7.50%,16.00%,5.70%,40.60%,43.3
Immanuel Quickley,NYK,78,1.3,11.20%,0.87,1.1,0.4,1.1,33.70%,39.50%,11.90%,5.90%,8.90%,3.00%,37.60%,47.2
Tobias Harris,PHI,73,1.4,8.60%,0.84,1.2,0.5,1.3,40.20%,41.30%,7.60%,7.60%,7.60%,2.90%,40.00%,40.6
Davion Mitchell,SAC,75,1.6,12.20%,0.73,1.2,0.5,1.4,39.20%,40.70%,5.00%,11.60%,4.10%,0.80%,36.40%,23.4
Jerami Grant,DET,47,2.4,12.50%,0.78,1.9,0.6,1.9,32.20%,32.80%,14.40%,6.30%,11.70%,1.80%,38.70%,33.5
Kyle Kuzma,WAS,66,1.5,8.10%,0.87,1.3,0.5,1.3,42.90%,46.40%,3.10%,10.30%,3.10%,0.00%,40.20%,46.1
Chris Paul,PHX,65,1.7,11.10%,0.78,1.3,0.5,1.5,33.00%,38.00%,4.60%,3.70%,3.70%,0.90%,34.30%,32.4
Spencer Dinwiddie,WAS,44,2.2,15.30%,0.87,1.9,0.6,1.8,31.30%,37.50%,15.60%,4.20%,14.60%,3.10%,38.50%,45.3
Bogdan Bogdanovic,ATL,63,1.2,8.50%,1.04,1.3,0.5,1,46.20%,54.60%,7.70%,9.00%,7.70%,0.00%,44.90%,82.3
Bam Adebayo,MIA,56,1.3,7.40%,1.04,1.4,0.5,1.1,48.40%,48.40%,18.70%,6.70%,18.70%,8.00%,50.70%,83.1
CJ McCollum,POR,36,2.9,13.50%,0.76,2.2,0.9,2.4,36.40%,38.60%,7.80%,7.80%,6.80%,1.00%,36.90%,28.3
Spencer Dinwiddie,DAL,23,2.9,20.90%,1.15,3.3,1,2.2,46.00%,56.00%,23.90%,7.50%,23.90%,6.00%,50.70%,94.1
Cole Anthony,ORL,66,1.4,7.60%,0.86,1.2,0.4,1.2,37.70%,41.60%,8.90%,6.70%,8.90%,1.10%,40.00%,43.7
CJ McCollum,NOP,26,2.9,12.80%,1,2.9,1.3,2.6,48.50%,50.70%,9.20%,6.60%,9.20%,5.30%,47.40%,75.9
Will Barton,DEN,71,1.2,7.80%,0.89,1.1,0.4,1.1,37.30%,46.70%,3.60%,8.30%,3.60%,1.20%,35.70%,51.8
Tyrese Haliburton,SAC,51,1.1,7.70%,1.18,1.3,0.5,1,46.90%,59.20%,12.30%,8.80%,12.30%,7.00%,45.60%,95.7
Terry Rozier,CHA,73,0.9,5.10%,1,0.9,0.3,0.8,37.70%,46.70%,7.50%,1.50%,6.00%,0.00%,41.80%,75.9
Cam Thomas,BKN,67,1,11.30%,0.96,1,0.4,0.9,41.90%,49.20%,2.90%,5.90%,1.50%,0.00%,41.20%,67.3
Aaron Gordon,DEN,75,1,7.30%,0.83,0.9,0.3,0.8,35.60%,39.80%,16.70%,11.50%,14.10%,3.80%,38.50%,39.5
Eric Gordon,HOU,57,1.1,8.80%,0.97,1.1,0.4,0.9,50.00%,59.00%,4.70%,17.20%,4.70%,0.00%,42.20%,70
Danilo Gallinari,ATL,66,1,9.60%,0.91,0.9,0.4,0.9,41.90%,43.50%,7.40%,1.50%,7.40%,0.00%,45.60%,58.7
OG Anunoby,TOR,48,2.1,12.20%,0.61,1.3,0.5,1.8,27.40%,31.50%,6.90%,10.90%,5.90%,1.00%,27.70%,11.4
Gordon Hayward,CHA,49,1.1,7.20%,1.11,1.2,0.5,1,48.90%,56.40%,10.90%,9.10%,10.90%,5.50%,47.30%,90.9
Mike Conley,UTA,72,0.8,6.20%,1,0.8,0.2,0.7,36.00%,46.00%,13.10%,4.90%,8.20%,0.00%,41.00%,75.9
