,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
17,2,42,40.40%,11.1,1.00%,0.9,-0.5,4.1,4.6,-0.5,3.8,0.8,Vet,53.60%,33.10%,0,13.6,44.70%,30.4,73.30%,12.0,41.20%,4.3,Luka Doncic,12.9,1.50%,1.5,Dallas Mavericks,5.5,33.60%,40.0
74,2,20,8.00%,2.9,0.80%,0.7,0.4,0.0,-0.3,0.9,1.2,0.6,Vet,59.90%,35.90%,0,9.0,69.40%,12.6,74.00%,1.8,15.90%,0.3,Dorian Finney-Smith,7.4,1.40%,1.4,Dallas Mavericks,1.3,13.40%,40.0
89,3,4,7.00%,2.4,1.40%,1.2,0.7,0.9,0.2,1.3,1.0,-0.9,Vet,67.60%,26.80%,0,0.7,4.20%,11.2,75.80%,6.5,55.80%,-0.3,Dwight Powell,12.2,1.20%,1.2,Dallas Mavericks,1.7,14.50%,8.0
92,2,14,19.50%,6.1,0.20%,0.2,-1.3,0.1,1.4,-0.7,0.9,-0.1,Vet,53.70%,37.30%,0,6.0,26.30%,23.1,83.80%,6.3,27.40%,1.6,Jalen Brunson,6.4,1.20%,1.2,Dallas Mavericks,2.4,24.30%,29.0
98,2,8,6.40%,2.3,0.50%,0.5,0.1,0.5,0.4,0.5,0.8,1.2,Vet,53.20%,38.60%,0,9.7,82.70%,11.5,85.80%,1.5,14.40%,0.3,Reggie Bullock,6.7,1.20%,1.2,Dallas Mavericks,0.9,11.40%,11.0
107,1,8,6.90%,2.3,1.80%,1.6,0.7,-0.1,-0.8,1.3,0.7,1.3,Vet,55.10%,34.90%,0,10.4,80.10%,12.7,73.80%,2.7,23.10%,-0.7,Maxi Kleber,11.3,0.90%,0.9,Dallas Mavericks,1.4,14.80%,25.0
152,1,12,5.60%,2.0,0.90%,0.8,-0.7,-1.2,-0.5,0.1,0.1,-0.8,Vet,49.60%,36.30%,0,13.2,86.30%,14.9,83.60%,2.6,19.60%,0.0,Davis Bertans,7.3,1.10%,1.1,Dallas Mavericks,1.1,15.40%,19.0
174,1,10,10.10%,3.2,0.40%,0.3,-1.4,-1.0,0.4,-0.8,-0.1,-0.5,Vet,45.70%,34.80%,0,13.0,60.40%,21.0,76.90%,4.7,21.50%,0.8,Tim Hardaway Jr.,6.1,1.10%,1.1,Dallas Mavericks,1.5,22.20%,13.0
175,1,0,20.60%,7.1,0.50%,0.4,-0.9,-1.4,-0.5,-0.5,-0.1,-0.3,Vet,49.90%,32.40%,0,8.7,46.60%,18.7,76.40%,7.2,41.20%,0.4,Spencer Dinwiddie,6.2,1.20%,1.2,Dallas Mavericks,2.6,21.20%,3.0
196,1,0,8.70%,3.2,0.70%,0.6,1.0,0.1,-1.0,1.0,-0.3,0.9,Sophomore,55.30%,31.90%,0,6.7,53.40%,12.4,66.50%,2.4,19.50%,-1.2,Josh Green,7.3,2.00%,2.0,Dallas Mavericks,1.8,14.10%,2.0
198,1,8,6.00%,1.9,1.50%,1.3,0.3,-0.7,-1.0,0.8,-0.3,-0.1,Vet,53.10%,24.30%,0,2.0,14.20%,23.7,68.80%,8.9,29.70%,-1.1,Boban Marjanovic,17.5,0.70%,0.8,Dallas Mavericks,3.3,26.70%,11.0
214,1,0,17.10%,5.3,0.70%,0.6,-0.1,-1.5,-1.4,0.5,-0.4,0.0,Vet,44.70%,33.80%,0,7.6,45.50%,17.4,78.50%,3.2,17.80%,-1.0,Frank Ntilikina,6.0,2.00%,1.9,Dallas Mavericks,2.6,18.00%,1.0
312,0,0,7.80%,2.4,0.60%,0.6,-0.1,-1.7,-1.6,0.2,-1.3,-0.3,Vet,47.00%,34.50%,0,6.8,54.50%,12.6,77.10%,2.6,15.10%,-1.5,Sterling Brown,10.8,1.30%,1.3,Dallas Mavericks,1.9,13.70%,0.0
317,0,0,15.00%,4.8,0.70%,0.6,-0.1,-0.8,-0.7,-0.3,-1.3,1.1,Vet,46.30%,31.80%,0,9.9,71.20%,14.2,82.20%,3.5,25.40%,-1.0,Theo Pinson,7.1,1.60%,1.6,Dallas Mavericks,2.7,17.10%,0.0
400,0,0,8.50%,2.5,2.40%,2.0,-0.8,-2.2,-1.4,-0.3,-1.9,-0.9,Vet,53.50%,26.50%,0,3.2,17.20%,19.1,68.00%,6.9,36.20%,-1.6,Marquese Chriss,15.0,1.60%,1.6,Dallas Mavericks,2.8,20.90%,0.0
418,0,0,17.80%,5.5,0.30%,0.3,-1.7,-2.5,-0.8,-1.3,-2.0,-1.2,Vet,44.00%,34.10%,0,9.3,38.80%,24.2,79.10%,3.9,17.00%,-0.8,Trey Burke,4.4,1.60%,1.6,Dallas Mavericks,2.4,23.90%,0.0
476,0,0,8.80%,3.2,1.80%,1.8,-0.3,-2.6,-2.3,-0.3,-2.6,-0.1,Rookie,47.10%,27.80%,0,4.8,34.70%,14.7,69.70%,4.3,26.90%,-2.3,Moses Wright,10.7,1.30%,1.3,Dallas Mavericks,2.3,16.00%,0.0
8,5,44,24.80%,8.1,0.50%,0.5,-1.1,3.2,4.3,0.1,4.7,0.4,Vet,50.70%,39.10%,0,15.8,57.30%,25.6,89.70%,7.3,27.50%,4.5,Stephen Curry,6.7,1.70%,1.7,Golden State Warriors,4.3,28.60%,40.0
31,4,8,9.20%,3.3,1.00%,0.9,1.5,2.2,0.7,1.9,2.4,1.6,Vet,53.00%,37.60%,0,6.0,46.40%,12.5,77.70%,2.4,19.90%,0.6,Otto Porter Jr.,12.6,2.00%,2.0,Golden State Warriors,1.5,12.90%,27.0
36,4,4,29.10%,10.3,1.90%,1.7,2.5,1.4,-1.1,3.6,2.3,0.1,Vet,54.10%,25.90%,0,3.2,23.90%,9.5,70.90%,3.4,31.70%,-1.3,Draymond Green,11.6,2.30%,2.3,Golden State Warriors,4.0,13.00%,23.0
45,3,10,13.00%,4.4,1.30%,1.2,2.2,1.6,-0.6,2.5,1.9,1.4,Vet,59.70%,19.90%,0,0.7,4.70%,9.1,56.90%,3.5,37.00%,-0.6,Kevon Looney,16.3,1.30%,1.3,Golden State Warriors,1.8,11.10%,20.0
50,3,6,8.20%,2.8,1.10%,1.0,2.4,2.4,0.1,1.8,1.8,2.2,Vet,65.00%,31.00%,0,4.3,34.50%,12.1,64.90%,2.3,18.80%,0.0,Gary Payton II,9.5,3.10%,3.1,Golden State Warriors,1.7,13.50%,23.0
81,2,2,8.90%,3.1,1.20%,1.1,-0.2,-0.1,0.1,0.8,1.1,1.4,Vet,51.10%,35.40%,0,7.4,37.40%,19.3,64.00%,5.2,27.90%,0.4,Andrew Wiggins,7.6,1.40%,1.4,Golden State Warriors,2.1,21.00%,10.0
88,1,22,24.70%,7.5,0.70%,0.6,-1.6,0.2,1.8,-0.8,1.0,1.5,Vet,53.60%,35.40%,0,12.6,55.00%,23.1,89.40%,7.2,31.70%,1.8,Jordan Poole,6.0,1.30%,1.3,Golden State Warriors,4.3,26.30%,21.0
106,2,16,10.70%,3.5,0.90%,0.8,-0.9,0.7,1.7,-0.1,0.7,0.2,Vet,48.90%,41.00%,0,15.4,54.80%,27.6,83.80%,2.7,11.90%,0.8,Klay Thompson,5.8,1.10%,1.1,Golden State Warriors,1.6,26.40%,17.0
225,0,4,8.60%,3.0,0.40%,0.4,-0.3,-0.8,-0.5,-0.3,-0.6,-0.9,Vet,51.90%,34.20%,0,6.3,44.30%,14.8,83.70%,3.9,24.80%,-0.3,Damion Lee,8.6,1.60%,1.6,Golden State Warriors,1.6,16.50%,9.0
232,1,2,26.40%,8.6,1.60%,1.5,1.5,0.2,-1.3,2.4,-0.6,1.3,Vet,48.60%,28.80%,0,6.0,59.10%,10.6,60.00%,2.3,19.80%,-3.0,Andre Iguodala,8.4,1.90%,2.0,Golden State Warriors,2.5,11.80%,10.0
255,0,0,8.70%,2.9,1.40%,1.1,-1.0,-0.7,0.4,-0.9,-0.8,1.1,Rookie,57.90%,30.60%,0,5.4,29.90%,18.1,69.00%,8.3,45.30%,0.1,Jonathan Kuminga,10.5,1.30%,1.3,Golden State Warriors,3.1,21.80%,1.0
267,0,0,17.10%,6.0,1.10%,0.9,0.9,-0.7,-1.5,0.7,-0.9,0.3,Vet,56.80%,31.60%,0,5.0,43.10%,11.4,56.80%,3.8,30.30%,-1.6,Juan Toscano-Anderson,9.6,2.10%,2.1,Golden State Warriors,3.1,14.50%,0.0
279,0,0,18.90%,6.7,1.30%,1.2,0.1,-1.0,-1.1,0.7,-1.0,-0.3,Vet,51.80%,31.00%,0,5.4,39.40%,13.3,70.60%,3.7,23.70%,-1.6,Nemanja Bjelica,13.0,1.60%,1.6,Golden State Warriors,3.5,16.90%,0.0
