,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
39,4,4,18.60%,6.2,1.70%,1.7,2.8,2.7,-0.1,2.6,2.3,1.0,Vet,56.70%,15.60%,0,0.7,5.70%,9.3,49.10%,6.2,49.30%,-0.4,Steven Adams,17.2,1.60%,1.6,Memphis Grizzlies,2.6,14.00%,31.0
40,4,18,31.00%,10.2,0.60%,0.6,-2.1,0.7,2.8,-1.1,2.0,2.2,Vet,51.80%,30.40%,0,6.0,24.20%,26.4,71.50%,11.5,42.10%,3.2,Ja Morant,8.5,1.50%,1.5,Memphis Grizzlies,5.1,31.10%,23.0
46,3,2,9.70%,3.0,2.60%,2.3,1.1,2.3,1.2,0.9,1.8,0.8,Vet,63.00%,28.80%,0,0.7,4.60%,15.8,68.10%,5.8,38.60%,0.9,Brandon Clarke,13.3,1.50%,1.5,Memphis Grizzlies,1.8,18.10%,10.0
49,2,36,11.00%,3.6,0.80%,0.8,0.2,1.6,1.3,0.3,1.8,2.5,Sophomore,50.90%,38.10%,0,11.2,53.40%,21.0,87.30%,3.8,19.70%,1.5,Desmond Bane,6.7,1.70%,1.8,Memphis Grizzlies,2.1,21.40%,37.0
56,3,10,5.40%,1.7,5.00%,4.5,1.2,1.2,0.0,1.4,1.7,1.1,Vet,49.80%,33.90%,0,9.5,41.70%,21.5,80.40%,8.3,37.70%,0.3,Jaren Jackson Jr.,11.1,1.50%,1.5,Memphis Grizzlies,2.8,23.70%,19.0
57,3,18,15.30%,5.0,1.20%,1.0,1.6,1.8,0.2,1.4,1.7,0.5,Vet,46.20%,32.80%,0,12.7,63.20%,19.7,74.60%,3.7,20.80%,0.3,De'Anthony Melton,9.1,2.70%,2.7,Memphis Grizzlies,2.9,20.80%,24.0
104,2,6,26.60%,9.4,0.10%,0.1,-0.2,1.0,1.2,0.1,0.7,2.3,Vet,48.10%,34.80%,0,7.8,45.00%,17.5,82.40%,2.6,16.40%,0.6,Tyus Jones,5.4,2.10%,2.2,Memphis Grizzlies,1.9,17.60%,9.0
138,2,4,14.00%,4.9,1.80%,1.6,2.0,0.5,-1.5,1.2,0.3,-1.2,Vet,51.30%,29.60%,0,2.6,15.60%,12.5,70.90%,3.4,28.90%,-0.9,Kyle Anderson,11.6,2.40%,2.4,Memphis Grizzlies,2.1,14.00%,15.0
141,2,12,11.80%,3.7,0.60%,0.5,-1.4,-2.0,-0.6,-0.5,0.3,0.1,Vet,46.20%,33.10%,0,8.6,35.00%,24.8,79.80%,5.3,21.40%,0.8,Dillon Brooks,5.2,1.60%,1.6,Memphis Grizzlies,2.4,25.30%,6.0
148,2,4,12.20%,4.1,1.00%,0.8,0.7,0.5,-0.2,0.7,0.1,-0.4,Vet,58.80%,33.10%,0,5.1,48.10%,10.1,62.10%,2.4,21.30%,-0.5,John Konchar,12.5,1.70%,1.7,Memphis Grizzlies,1.5,11.10%,5.0
172,2,2,9.70%,3.2,1.20%,1.0,1.3,0.6,-0.7,1.1,-0.1,0.7,Sophomore,58.60%,29.00%,0,2.7,14.10%,12.6,63.00%,4.1,32.90%,-1.1,Xavier Tillman,11.7,2.50%,2.5,Memphis Grizzlies,2.3,15.40%,9.0
201,1,0,8.20%,2.2,1.70%,1.5,1.2,-0.1,-1.4,1.1,-0.3,1.5,Sophomore,40.10%,31.50%,0,9.8,65.20%,14.1,67.70%,2.4,20.10%,-1.4,Killian Tillie,8.8,1.80%,1.8,Memphis Grizzlies,1.6,14.20%,1.0
259,0,0,6.50%,2.1,0.50%,0.4,-0.9,-0.9,0.0,-0.8,-0.8,1.1,Rookie,58.50%,32.60%,0,9.3,59.50%,15.7,76.90%,3.3,21.50%,0.0,Ziaire Williams,5.2,1.30%,1.3,Memphis Grizzlies,1.5,17.00%,7.0
270,0,2,16.80%,4.8,0.70%,0.6,-0.1,-0.9,-0.8,-0.1,-0.9,0.7,Sophomore,49.80%,25.00%,0,6.5,39.40%,16.1,76.00%,5.0,27.70%,-0.8,Tyrell Terry,7.1,2.00%,1.9,Memphis Grizzlies,2.5,19.40%,5.0
399,0,0,7.00%,2.2,1.50%,1.4,0.0,-1.8,-1.9,0.0,-1.9,0.3,Rookie,48.30%,30.70%,0,7.9,57.50%,13.5,67.20%,3.4,21.90%,-1.9,Yves Pons,8.2,1.40%,1.4,Memphis Grizzlies,1.8,15.10%,0.0
440,0,0,9.40%,2.7,1.90%,1.7,-0.7,-2.3,-1.6,-0.7,-2.2,0.3,Rookie,52.60%,27.20%,0,5.9,30.20%,19.5,62.70%,5.6,32.00%,-1.6,Santi Aldama,13.0,1.10%,1.1,Memphis Grizzlies,2.7,21.20%,0.0
457,0,0,12.40%,3.7,1.00%,0.9,0.0,-2.3,-2.2,-0.2,-2.3,-0.4,Vet,44.10%,31.60%,0,6.9,37.10%,20.4,50.80%,5.5,24.40%,-2.1,Jarrett Culver,7.6,2.10%,2.1,Memphis Grizzlies,2.8,21.20%,0.0
14,6,14,22.00%,7.1,0.80%,0.7,0.1,2.4,2.3,1.2,3.9,0.4,Vet,51.10%,28.70%,0,4.2,22.00%,22.6,85.80%,11.2,52.60%,2.6,Jimmy Butler,9.3,2.50%,2.4,Miami Heat,2.8,25.50%,20.0
22,5,6,15.70%,5.1,1.50%,1.4,1.5,1.9,0.4,1.8,2.8,0.8,Vet,58.80%,16.70%,0,0.6,4.10%,17.7,76.30%,8.7,50.90%,1.0,Bam Adebayo,15.2,1.90%,1.9,Miami Heat,3.7,23.00%,22.0
43,3,22,28.30%,9.7,0.50%,0.4,0.6,0.4,-0.2,1.1,2.0,0.2,Vet,48.30%,34.30%,0,9.8,69.00%,13.4,81.10%,4.7,31.10%,0.8,Kyle Lowry,6.6,1.50%,1.5,Miami Heat,3.4,16.30%,40.0
79,3,24,6.10%,1.9,1.00%,0.9,1.3,1.3,0.0,1.2,1.1,2.2,Vet,52.50%,34.40%,0,6.7,42.60%,15.1,72.60%,3.6,23.30%,-0.1,Caleb Martin,8.1,2.10%,2.1,Miami Heat,1.9,15.90%,24.0
135,2,4,8.40%,2.9,0.50%,0.5,-0.7,0.2,0.9,-0.5,0.3,0.8,Vet,57.80%,36.80%,0,13.6,79.60%,16.8,77.00%,1.9,14.40%,0.8,Max Strus,5.9,1.10%,1.1,Miami Heat,1.5,17.00%,12.0
147,2,12,8.50%,2.7,0.50%,0.4,-0.8,-0.1,0.7,-0.3,0.2,-0.8,Vet,57.60%,35.30%,0,16.5,94.30%,16.1,82.80%,1.9,16.30%,0.4,Duncan Robinson,5.1,1.00%,1.0,Miami Heat,1.4,16.40%,15.0
171,1,14,20.70%,6.6,0.40%,0.3,-0.5,0.9,1.4,-0.9,-0.1,1.4,Vet,49.40%,36.20%,0,10.3,41.60%,23.9,85.30%,5.0,23.00%,0.9,Tyler Herro,7.6,1.10%,1.1,Miami Heat,3.6,25.90%,20.0
203,2,6,20.70%,6.2,0.50%,0.5,0.8,0.8,0.0,0.7,-0.4,0.0,Vet,48.20%,33.00%,0,9.9,48.40%,20.5,77.90%,5.6,24.70%,-1.1,Victor Oladipo,7.0,1.90%,2.0,Miami Heat,3.5,22.80%,7.0
213,2,8,6.00%,1.8,2.50%,2.2,1.3,-0.2,-1.5,1.2,-0.4,-1.2,Vet,58.80%,29.50%,0,3.5,20.70%,14.1,72.90%,4.9,32.70%,-1.7,Dewayne Dedmon,17.4,1.30%,1.3,Miami Heat,2.9,17.70%,18.0
