,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
14,4,22,22.00%,7.1,0.80%,0.7,0.1,2.4,2.3,1.2,3.9,0.4,Vet,51.10%,28.70%,0,4.2,22.00%,22.6,85.80%,11.2,52.60%,2.6,Jimmy Butler,9.3,2.50%,2.4,Miami Heat,2.8,25.50%,40.0
22,2,24,15.70%,5.1,1.50%,1.4,1.5,1.9,0.4,1.8,2.8,0.8,Vet,58.80%,16.70%,0,0.6,4.10%,17.7,76.30%,8.7,50.90%,1.0,Bam Adebayo,15.2,1.90%,1.9,Miami Heat,3.7,23.00%,40.0
43,4,18,28.30%,9.7,0.50%,0.4,0.6,0.4,-0.2,1.1,2.0,0.2,Vet,48.30%,34.30%,0,9.8,69.00%,13.4,81.10%,4.7,31.10%,0.8,Kyle Lowry,6.6,1.50%,1.5,Miami Heat,3.4,16.30%,19.0
79,3,4,6.10%,1.9,1.00%,0.9,1.3,1.3,0.0,1.2,1.1,2.2,Vet,52.50%,34.40%,0,6.7,42.60%,15.1,72.60%,3.6,23.30%,-0.1,Caleb Martin,8.1,2.10%,2.1,Miami Heat,1.9,15.90%,12.0
135,3,10,8.40%,2.9,0.50%,0.5,-0.7,0.2,0.9,-0.5,0.3,0.8,Vet,57.80%,36.80%,0,13.6,79.60%,16.8,77.00%,1.9,14.40%,0.8,Max Strus,5.9,1.10%,1.1,Miami Heat,1.5,17.00%,20.0
147,3,4,8.50%,2.7,0.50%,0.4,-0.8,-0.1,0.7,-0.3,0.2,-0.8,Vet,57.60%,35.30%,0,16.5,94.30%,16.1,82.80%,1.9,16.30%,0.4,Duncan Robinson,5.1,1.00%,1.0,Miami Heat,1.4,16.40%,5.0
171,2,6,20.70%,6.6,0.40%,0.3,-0.5,0.9,1.4,-0.9,-0.1,1.4,Vet,49.40%,36.20%,0,10.3,41.60%,23.9,85.30%,5.0,23.00%,0.9,Tyler Herro,7.6,1.10%,1.1,Miami Heat,3.6,25.90%,10.0
203,2,2,20.70%,6.2,0.50%,0.5,0.8,0.8,0.0,0.7,-0.4,0.0,Vet,48.20%,33.00%,0,9.9,48.40%,20.5,77.90%,5.6,24.70%,-1.1,Victor Oladipo,7.0,1.90%,2.0,Miami Heat,3.5,22.80%,3.0
213,1,16,6.00%,1.8,2.50%,2.2,1.3,-0.2,-1.5,1.2,-0.4,-1.2,Vet,58.80%,29.50%,0,3.5,20.70%,14.1,72.90%,4.9,32.70%,-1.7,Dewayne Dedmon,17.4,1.30%,1.3,Miami Heat,2.9,17.70%,29.0
236,1,6,9.20%,3.2,0.50%,0.4,0.7,-1.1,-1.8,1.5,-0.6,1.0,Vet,50.60%,34.70%,0,4.5,45.10%,10.4,74.30%,1.7,15.80%,-2.1,P.J. Tucker,10.0,1.50%,1.5,Miami Heat,1.4,10.90%,13.0
305,1,2,9.70%,2.9,1.60%,1.4,0.5,-1.0,-1.6,0.3,-1.2,2.0,Sophomore,53.40%,24.50%,0,1.9,8.90%,18.2,61.10%,5.1,28.50%,-1.5,Omer Yurtseven,18.9,1.10%,1.1,Miami Heat,2.5,20.20%,3.0
