Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Milwaukee Bucks,Giannis Antetokounmpo,Vet,7.3,-0.2,4.5,2.8,4.5,3.4,1.1,28.2,62.40%,3.8,27.20%,19.60%,13.9,67.60%,56.50%,33.30%,17.5,7.7,28.20%,1.8,2.00%,1.5,1.50%,4.9
Philadelphia 76ers,Joel Embiid,Vet,6.3,0.5,3.9,2.4,3.8,3.4,0.4,27.8,54.50%,5.1,31.80%,20.90%,14.9,81.90%,61.30%,33.50%,17.4,4.9,16.30%,2.2,2.20%,1.4,1.40%,4.3
Boston Celtics,Jayson Tatum,Vet,5.5,2.6,4.8,0.6,4.6,4.6,0,27.2,52.40%,10.9,35.60%,43.80%,9.8,85.00%,35.60%,29.20%,9.9,6.2,21.70%,0.9,1.00%,1.5,1.50%,4.2
Los Angeles Lakers,LeBron James,Vet,5.5,-0.8,5.1,0.4,6.9,6.8,0.1,29.6,59.30%,10.5,32.90%,36.90%,8.2,70.50%,33.50%,33.10%,11.3,8.2,27.00%,1.2,1.40%,1.6,1.50%,5
Denver Nuggets,Nikola Jokic,Vet,5.4,0.8,3.7,1.8,4.1,3.3,0.8,27,60.10%,4.5,35.60%,19.10%,10.5,82.40%,39.20%,33.90%,20.1,9.7,35.70%,1.4,1.50%,2,1.90%,5.5
Los Angeles Clippers,Kawhi Leonard,Vet,5,-1.6,3.5,1.5,5.7,3.9,1.8,23.8,53.20%,7.5,35.60%,36.20%,7.5,86.30%,34.60%,27.40%,9.8,5.6,19.70%,0.8,0.90%,2.4,2.30%,2.7
Brooklyn Nets,Kevin Durant,Vet,5,-0.7,5.1,-0.1,3.8,4,-0.2,24.8,53.60%,7.1,38.30%,29.60%,9.9,89.70%,38.10%,29.20%,9.2,8,26.10%,1.3,1.40%,1.2,1.20%,4.5
Phoenix Suns,Chris Paul,Vet,4.9,0.9,3.2,1.7,2.9,1.1,1.8,18.3,54.50%,5.5,34.10%,28.20%,5.4,87.50%,29.30%,20.50%,6.5,13.6,42.00%,0.4,0.50%,2.5,2.40%,3.4
Golden State Warriors,Stephen Curry,Vet,4.7,0.4,4.5,0.1,3.2,4.3,-1.1,25.6,50.70%,15.8,39.10%,57.30%,7.3,89.70%,27.50%,28.60%,6.7,8.1,24.80%,0.5,0.50%,1.7,1.70%,4.3
Los Angeles Clippers,Paul George,Vet,4.4,-0.7,2.5,1.9,3.5,2.6,0.9,26.3,47.60%,12,35.80%,50.10%,7.8,83.70%,31.10%,31.60%,9.8,7.6,25.80%,0.7,0.70%,2.2,2.10%,5.3
Minnesota Timberwolves,Karl-Anthony Towns,Vet,4.2,0.9,3.7,0.5,2,1.9,0.1,21.2,57.10%,6.3,37.90%,30.20%,9.5,82.40%,44.60%,26.30%,14.6,4.5,13.70%,1.7,1.80%,1.3,1.30%,4.1
Portland Trail Blazers,Damian Lillard,Vet,4.2,0,5.3,-1.1,4.6,5.2,-0.5,24.1,48.60%,13.3,34.30%,55.40%,9.4,89.00%,37.30%,27.90%,5.7,8.9,30.60%,0.5,0.60%,1.1,1.10%,3.6
Brooklyn Nets,Kyrie Irving,Vet,3.9,0,4.4,-0.5,3.2,3,0.2,23,51.50%,9.6,37.90%,40.50%,5.6,90.50%,24.40%,25.30%,5.9,7.1,21.20%,0.8,0.90%,1.9,1.80%,3
Phoenix Suns,Devin Booker,Vet,3.9,1.2,4.9,-1,3.6,4.7,-1,28.3,52.20%,9.8,34.80%,36.10%,8.3,87.40%,32.10%,29.40%,6.8,6.7,20.50%,0.5,0.60%,1.3,1.30%,3.5
