PLAYER,Team,Experience,Minutes,Pace,PTS,AST,DREB,OREB,BLK,STL,TOV,FGA,FTA,FG3A,RimFGA,PF,date_of_projection
Nikola Jokic,Denver Nuggets,Vet,38.3,98.5,31.3,7.6,12.5,3.3,1.1,1.6,4.3,21.2,8.2,3.5,6.2,3.6,2022-05-03
Luka Doncic,Dallas Mavericks,Vet,38.9,94,30.2,8.5,9,0.9,0.7,1.2,4.2,23.2,9.1,10.3,3.9,2.8,2022-05-03
Donovan Mitchell,Utah Jazz,Vet,38.7,95.5,29,6,4,0.9,0.3,1.3,3.3,22.4,6.4,9.4,4,2.9,2022-05-03
Devin Booker,Phoenix Suns,Vet,37.9,98.3,28.6,5.2,4.6,0.7,0.4,1,2.7,22,6.4,7.6,2.9,3.2,2022-05-03
Kevin Durant,Brooklyn Nets,Vet,40.3,98.6,28,6.6,7,0.6,1,1,3.7,20.5,8.2,5.9,2.1,2.7,2022-05-03
Trae Young,Atlanta Hawks,Vet,38.6,97.6,26.7,9.3,3.6,0.7,0.2,1,4,19.8,7.9,8.5,3,2.3,2022-05-03
Stephen Curry,Golden State Warriors,Vet,35.1,98.1,26.2,5.8,4.3,0.5,0.3,1.2,3.1,18.4,5.3,11.4,2.3,2.5,2022-05-03
DeMar DeRozan,Chicago Bulls,Vet,38.7,96.8,25.2,4.8,4.6,0.7,0.4,1,2.4,20.4,7.6,1.3,3.1,2.8,2022-05-03
Kyrie Irving,Brooklyn Nets,Vet,39.9,98.4,25,5.8,4,0.8,0.7,1.5,2.5,18.8,4.6,7.9,2.5,3.2,2022-05-03
Brandon Ingram,New Orleans Pelicans,Vet,37.7,95.1,24.6,6,5.5,0.7,0.5,0.7,2.9,18.8,7,4.2,2.9,2.6,2022-05-03
Karl-Anthony Towns,Minnesota Timberwolves,Vet,36.9,99.9,24.5,3.4,8.5,2.7,1.3,1,3.2,16.3,7.3,4.8,5.8,4.3,2022-05-03
LeBron James,Los Angeles Lakers,Vet,29.9,97.9,23.7,5,6,0.9,0.7,1,3.1,18.1,5,6.4,6.2,2.1,2022-05-03
Pascal Siakam,Toronto Raptors,Vet,41.1,94.6,23.7,5.8,7,1.8,0.7,1.3,2.9,19.3,6.5,3.4,4.4,3.7,2022-05-03
Anthony Edwards,Minnesota Timberwolves,Sophomore,37.8,99.4,23.5,3.9,4.2,0.8,0.7,1.4,2.5,18,4.7,9.3,4.7,2.9,2022-05-03
CJ McCollum,New Orleans Pelicans,Vet,36.5,95.3,22.5,5,3.8,0.8,0.4,1,2.1,19.2,3.7,7.2,2.7,2.5,2022-05-03
Jimmy Butler,Miami Heat,Vet,34.8,95,21.9,4.9,4.6,1.7,0.5,1.7,1.9,15.6,7.7,2.9,5,1.9,2022-05-03
Jayson Tatum,Boston Celtics,Vet,29.6,94.3,21.5,3.6,4.8,0.9,0.5,0.9,2.4,15.8,5.7,6.3,3.7,2.4,2022-05-03
