PLAYER,TEAM,GP,miscPOSS,miscFREQ,miscPPP,miscPTS,miscFGM,miscFGA,miscFG%,miscEFG%,miscFTFREQ,miscTOVFREQ,miscSFFREQ,miscANDONEFREQ,miscSCOREFREQ,miscPERCENTILE
Trae Young,ATL,76,1.5,5.50%,0.98,1.5,0.2,0.4,60.00%,65.00%,35.10%,38.60%,4.40%,0.00%,50.00%,97.1
Nikola Jokic,DEN,74,2.1,8.60%,0.64,1.3,0.2,0.3,68.00%,78.00%,23.00%,60.50%,1.30%,0.00%,33.00%,70
Giannis Antetokounmpo,MIL,67,1.4,5.40%,0.94,1.4,0.3,0.6,50.00%,55.00%,32.00%,30.90%,9.30%,2.00%,49.00%,96.8
Karl-Anthony Towns,MIN,74,1.5,6.90%,0.71,1.1,0.2,0.4,54.00%,67.00%,23.00%,54.90%,4.40%,1.00%,34.00%,79.1
Chris Paul,PHX,65,1.2,8.20%,0.94,1.2,0.2,0.3,53.00%,61.00%,38.80%,37.50%,1.30%,0.00%,49.00%,96.6
Joel Embiid,PHI,68,1.6,5.60%,0.63,1,0.2,0.4,40.00%,42.00%,25.20%,46.70%,5.60%,0.00%,36.00%,66.6
Kevin Durant,BKN,55,1.4,5.30%,0.85,1.2,0,0.2,18.00%,18.00%,44.90%,41.00%,1.30%,0.00%,47.00%,92.4
Pascal Siakam,TOR,68,1.3,5.50%,0.76,1,0.3,0.5,50.00%,53.00%,26.70%,36.00%,4.70%,2.00%,41.00%,82.6
Tyler Herro,MIA,66,1.2,5.60%,0.81,1,0.2,0.5,45.00%,55.00%,23.10%,35.90%,5.10%,1.00%,40.00%,88.5
Devin Booker,PHX,68,1.1,4.40%,0.82,0.9,0.1,0.4,40.00%,44.00%,32.90%,34.20%,0.00%,0.00%,43.00%,89.2
Rudy Gobert,UTA,66,1.5,12.20%,0.6,0.9,0.1,0.1,57.00%,57.00%,40.60%,52.50%,2.00%,0.00%,43.00%,62.7
Christian Wood,HOU,68,1.2,7.10%,0.72,0.9,0.1,0.2,47.00%,50.00%,39.00%,42.70%,4.90%,0.00%,41.00%,80.3
LaMelo Ball,CHA,75,1.2,5.80%,0.63,0.8,0.2,0.4,38.00%,47.00%,19.60%,45.70%,3.30%,0.00%,33.00%,67.6
Russell Westbrook,LAL,78,1.6,7.40%,0.46,0.7,0.2,0.5,31.00%,31.00%,19.80%,50.00%,4.00%,1.00%,26.00%,42.5
Jordan Poole,GSW,76,1,5.60%,0.75,0.7,0.2,0.4,61.00%,75.00%,13.30%,50.70%,2.70%,1.00%,33.00%,82.1
Anthony Davis,LAL,40,1.3,5.90%,1.04,1.4,0.2,0.3,54.00%,58.00%,44.20%,30.80%,3.80%,0.00%,54.00%,98
Jalen Brunson,DAL,79,0.9,5.80%,0.77,0.7,0.2,0.3,59.00%,59.00%,25.70%,44.30%,1.40%,1.00%,41.00%,83.8
Zach LaVine,CHI,67,1,4.40%,0.8,0.8,0.2,0.3,52.00%,54.00%,25.80%,39.40%,4.50%,0.00%,44.00%,87.7
Stephen Curry,GSW,64,1.3,5.40%,0.65,0.8,0.1,0.5,29.00%,37.00%,19.50%,43.90%,6.10%,1.00%,29.00%,72.2
Mike Conley,UTA,72,0.9,6.40%,0.83,0.7,0.1,0.3,32.00%,42.00%,33.30%,36.50%,3.20%,0.00%,43.00%,89.9
Anthony Edwards,MIN,72,1,4.60%,0.72,0.7,0.2,0.5,43.00%,47.00%,15.50%,35.20%,4.20%,0.00%,35.00%,80.1
Kyle Lowry,MIA,63,1.3,9.20%,0.64,0.8,0.1,0.2,27.00%,30.00%,28.80%,52.50%,0.00%,0.00%,34.00%,69.8
Julius Randle,NYK,72,1.4,5.90%,0.52,0.7,0.1,0.2,41.00%,44.00%,27.60%,56.10%,5.10%,1.00%,32.00%,50.1
Shai Gilgeous-Alexander,OKC,56,1.1,4.50%,0.81,0.9,0.2,0.6,36.00%,39.00%,22.60%,22.60%,9.70%,3.00%,40.00%,88.2
Miles Bridges,CHA,80,1,5.10%,0.65,0.6,0.2,0.4,38.00%,39.00%,19.50%,39.00%,7.80%,0.00%,35.00%,73.2
Tyrese Maxey,PHI,75,0.8,4.80%,0.86,0.7,0.1,0.3,37.00%,45.00%,33.30%,33.30%,7.00%,0.00%,46.00%,92.9
Hamidou Diallo,DET,58,1,9.20%,0.83,0.8,0.4,0.5,70.00%,72.00%,10.20%,42.40%,5.10%,3.00%,41.00%,90.4
Terry Rozier,CHA,73,0.8,4.30%,0.84,0.7,0.2,0.4,42.00%,50.00%,22.80%,31.60%,0.00%,0.00%,42.00%,92.1
Jayson Tatum,BOS,76,0.8,3.20%,0.76,0.6,0.1,0.3,32.00%,37.00%,31.70%,39.70%,1.60%,2.00%,38.00%,83.2
Scottie Barnes,TOR,74,1.1,6.90%,0.6,0.6,0.1,0.4,37.00%,38.00%,20.00%,43.80%,6.30%,1.00%,31.00%,62.2
