PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
TraeYoung,ATL,76,14,51.30%,0.97,13.6,4.7,10.6,44.70%,52.20%,10.10%,15.20%,5.50%,1.10%,42.80%,80.1
DeMar DeRozan,CHI,76,10.7,41.60%,1.03,11,4.3,8.4,50.80%,50.90%,15.00%,9.80%,14.20%,2.80%,51.40%,87.5
Donovan Mitchell,UTA,67,12,47.50%,1.03,12.4,4.5,9.7,46.10%,53.80%,10.40%,11.50%,9.30%,3.00%,44.50%,87.8
Luka Doncic,DAL,65,13,44.30%,0.93,12,4.2,9.6,43.90%,51.00%,13.90%,15.20%,12.40%,3.00%,42.40%,72
Ja Morant,MEM,57,12.4,45.30%,0.92,11.4,4.5,9.4,47.60%,49.50%,12.50%,13.70%,11.00%,2.30%,45.50%,70.8
Dejounte Murray,SAS,68,10.5,46.70%,0.88,9.1,3.9,8.6,45.90%,47.50%,7.50%,12.90%,7.00%,2.30%,42.30%,59.2
Darius Garland,CLE,68,9.2,41.60%,0.9,8.4,3.3,7.1,46.80%,52.40%,6.80%,18.20%,6.10%,1.90%,40.90%,67.9
Chris Paul,PHX,65,8.6,57.20%,0.99,8.5,3.5,6.6,52.90%,55.10%,8.60%,14.90%,3.10%,0.90%,48.50%,83.3
De'Aaron Fox,SAC,59,9.9,41.60%,0.9,8.9,3.5,7.9,44.80%,47.20%,11.80%,12.00%,11.60%,3.20%,43.40%,66.1
Reggie Jackson,LAC,75,7.8,40.10%,0.87,6.8,2.7,6.5,42.60%,48.00%,5.30%,13.00%,4.80%,1.00%,39.40%,58.6
Zach LaVine,CHI,67,7.6,33.80%,0.96,7.3,2.6,6,43.00%,50.80%,10.20%,12.50%,7.80%,1.20%,42.50%,78.3
Shai Gilgeous-Alexander,OKC,56,9.6,39.00%,0.9,8.6,3.2,7.5,43.30%,46.70%,10.90%,12.80%,8.70%,1.30%,43.00%,65.8
Devin Booker,PHX,68,7.1,27.70%,0.99,7,2.7,5.8,46.30%,51.00%,8.90%,10.80%,7.50%,1.90%,44.90%,83
Mike Conley,UTA,72,6.8,50.30%,0.96,6.6,2.4,5.6,43.80%,52.70%,7.10%,12.80%,6.30%,1.40%,41.20%,78.6
LaMelo Ball,CHA,75,7.6,35.70%,0.79,6,2.4,6,40.70%,45.20%,4.70%,17.50%,4.20%,1.20%,35.60%,35.1
Tyrese Maxey,PHI,75,5.9,37.30%,1.02,5.9,2.3,5,46.80%,51.10%,9.60%,7.70%,9.30%,3.20%,46.50%,85.1
Fred VanVleet,TOR,65,7.2,34.90%,0.93,6.7,2.3,5.7,40.80%,49.20%,8.30%,14.00%,6.20%,0.80%,39.50%,73.2
Stephen Curry,GSW,64,6.5,27.40%,1.02,6.7,2.2,5.1,43.50%,55.20%,8.80%,16.00%,7.90%,2.10%,40.30%,85.7
Jayson Tatum,BOS,76,5.8,22.30%,0.95,5.5,2,4.5,45.20%,53.20%,8.00%,15.70%,6.10%,1.10%,41.60%,77.1
Jalen Brunson,DAL,79,5,32.40%,1.06,5.3,2.2,4.2,52.70%,54.30%,9.20%,9.20%,7.60%,1.80%,51.10%,90.8
Cade Cunningham,DET,64,7.8,37.20%,0.82,6.4,2.7,6,44.60%,48.00%,5.80%,19.50%,4.20%,1.80%,38.00%,45.8
Tyler Herro,MIA,66,6.9,32.80%,0.88,6.1,2.2,5.4,41.50%,46.20%,9.00%,14.30%,7.90%,1.80%,39.70%,61.3
D'Angelo Russell,MIN,65,6.6,34.40%,0.93,6.1,2.1,4.9,41.90%,48.00%,13.30%,13.60%,7.70%,1.60%,43.00%,72.9
Jrue Holiday,MIL,67,5.9,32.60%,1,5.9,2.3,4.6,50.50%,57.10%,7.10%,15.70%,6.30%,1.00%,45.20%,83.9
Cole Anthony,ORL,66,6.9,38.50%,0.81,5.6,2,5.1,39.80%,45.00%,9.00%,18.80%,7.90%,1.50%,36.80%,42.3
Russell Westbrook,LAL,78,5.7,26.20%,0.83,4.7,1.9,4.3,44.30%,47.50%,9.40%,18.10%,8.70%,2.20%,39.60%,47
Jordan Clarkson,UTA,79,4.6,27.90%,0.99,4.6,1.8,3.9,46.60%,53.60%,6.90%,12.40%,5.80%,3.00%,42.60%,82.7
Anfernee Simons,POR,57,6,35.80%,1.04,6.2,2.4,5,46.70%,55.60%,6.10%,11.40%,5.30%,1.50%,43.90%,88.1
Davion Mitchell,SAC,75,5.2,39.20%,0.91,4.7,2.1,4.4,46.20%,50.60%,3.60%,12.10%,2.80%,1.00%,41.50%,68.2
Anthony Edwards,MIN,72,5.7,26.70%,0.85,4.9,1.8,4.5,38.90%,45.80%,9.70%,14.00%,8.50%,2.20%,38.00%,53
Kevin Porter Jr.,HOU,61,6.9,39.00%,0.82,5.6,2,5.1,39.80%,48.60%,8.10%,19.50%,6.40%,2.10%,34.90%,43.2
Jordan Poole,GSW,76,4.2,23.80%,1,4.2,1.5,3.1,47.40%,56.20%,11.50%,19.30%,9.00%,3.40%,42.50%,84.7
Khris Middleton,MIL,66,5,25.10%,0.92,4.6,1.6,3.7,44.60%,51.90%,9.10%,19.30%,8.20%,1.50%,40.20%,71.7
RJ Barrett,NYK,70,5.7,26.30%,0.75,4.3,1.6,4.4,35.60%,37.60%,12.90%,13.20%,11.40%,2.20%,37.30%,29.5
Immanuel Quickley,NYK,78,4,34.70%,0.96,3.9,1.3,3.3,39.90%,48.30%,11.10%,10.20%,10.50%,3.50%,40.10%,78
Tyrese Haliburton,SAC,51,6.9,47.40%,0.85,5.8,2.3,5.5,42.30%,47.30%,6.60%,15.10%,6.30%,1.40%,38.70%,52.4
Malcolm Brogdon,IND,36,8,41.90%,1.02,8.2,3.1,6.4,47.80%,52.20%,11.80%,9.70%,8.70%,1.40%,48.30%,87.2
Caris LeVert,IND,39,7.8,39.90%,0.96,7.5,3,6.3,47.20%,50.80%,11.20%,10.60%,10.60%,3.00%,45.20%,79.2
Cameron Payne,PHX,58,6,47.90%,0.84,5,2.1,4.9,41.80%,44.30%,6.60%,11.80%,6.30%,1.20%,40.10%,50.3
Brandon Ingram,NOP,55,5.7,24.60%,0.93,5.2,2.2,4.4,49.80%,50.20%,10.90%,14.80%,10.30%,3.20%,46.00%,72.3
Alec Burks,NYK,81,3.9,33.70%,0.92,3.6,1.1,3,35.20%,43.50%,15.10%,7.70%,14.10%,2.20%,40.10%,71.3
Jalen Green,HOU,67,5.2,29.20%,0.81,4.2,1.5,4,37.60%,44.70%,8.10%,15.60%,6.90%,0.90%,35.80%,41.7
James Harden,BKN,44,7.6,31.80%,0.83,6.3,1.9,4.6,41.80%,48.50%,15.80%,28.30%,15.80%,3.90%,36.90%,47.9
Bradley Beal,WAS,40,8.7,35.10%,0.8,7,2.7,6.5,41.80%,44.60%,8.60%,17.50%,8.60%,1.40%,38.50%,40.2
Damian Lillard,POR,29,10.1,41.00%,0.95,9.5,3.2,8,39.50%,47.60%,11.30%,9.90%,8.60%,1.40%,41.40%,76.2
Franz Wagner,ORL,79,3.9,26.00%,0.85,3.3,1.2,3.1,39.50%,43.20%,10.40%,12.60%,9.40%,1.60%,39.80%,52.1
Kevin Durant,BKN,55,4.4,16.50%,1.05,4.6,1.6,3.3,47.30%,53.60%,13.10%,13.50%,11.50%,1.20%,47.10%,89.3
LeBron James,LAL,56,4.9,17.60%,0.93,4.5,1.6,3.7,42.00%,50.50%,10.30%,15.80%,9.90%,2.20%,39.30%,72.6
Paul George,LAC,31,9.5,35.80%,0.83,7.9,2.9,7.1,40.30%,45.70%,9.20%,18.60%,8.80%,2.70%,36.60%,48.2
Spencer Dinwiddie,WAS,44,6,42.50%,0.92,5.5,1.9,4.6,41.60%,46.80%,12.40%,13.90%,11.30%,2.30%,41.40%,69.6
Gary Trent Jr.,TOR,70,4,22.60%,0.87,3.5,1.4,3.6,37.80%,42.60%,6.80%,4.30%,6.50%,1.10%,39.80%,57.3
