PLAYER,TEAM,GP,pnr_roller_POSS,pnr_roller_FREQ,pnr_roller_PPP,pnr_roller_PTS,pnr_roller_FGM,pnr_roller_FGA,pnr_roller_FG%,pnr_roller_EFG%,pnr_roller_FTFREQ,pnr_roller_TOVFREQ,pnr_roller_SFFREQ,pnr_roller_AND ONEFREQ,pnr_roller_SCOREFREQ,pnr_roller_PERCENTILE
Nikola Vucevic,CHI,73,6.6,35.80%,0.94,6.2,2.6,6,44.20%,49.90%,2.70%,7.30%,2.70%,1.00%,41.90%,24.9
Joel Embiid,PHI,68,4.6,16.60%,1.24,5.8,1.9,3.4,56.40%,61.50%,23.10%,7.00%,22.80%,4.70%,60.10%,70.4
Nikola Jokic,DEN,74,4,16.90%,1.07,4.3,1.8,3.5,50.00%,54.80%,8.70%,7.00%,8.00%,3.30%,48.80%,44.4
Deandre Ayton,PHX,58,4.4,29.80%,1.25,5.4,2.4,3.7,64.80%,65.50%,11.50%,7.50%,11.50%,3.20%,62.80%,71.6
Rudy Gobert,UTA,66,3.4,27.10%,1.32,4.5,1.7,2.3,71.40%,71.40%,25.30%,8.40%,23.60%,2.20%,69.30%,82.1
Jakob Poeltl,SAS,68,3.7,29.70%,1.16,4.3,2,3.3,60.80%,60.80%,12.60%,5.50%,12.60%,5.50%,58.30%,60.7
Jonas Valanciunas,NOP,74,3.4,20.00%,1.1,3.7,1.5,2.9,52.30%,57.90%,6.00%,8.40%,6.00%,1.20%,49.80%,48.6
Clint Capela,ATL,74,2.6,26.30%,1.37,3.5,1.6,2.3,71.90%,71.90%,13.20%,1.60%,13.70%,3.20%,70.00%,86.8
Jusuf Nurkic,POR,56,3.8,24.80%,1.19,4.5,1.8,2.9,62.70%,63.70%,20.60%,10.30%,20.60%,6.50%,59.80%,65.8
Karl-Anthony Towns,MIN,74,2.8,12.50%,1.2,3.3,1.2,2.2,54.60%,62.60%,14.70%,8.30%,14.70%,2.90%,54.90%,67.7
Christian Wood,HOU,68,2.9,16.90%,1.2,3.4,1.3,2.4,53.70%,64.20%,12.80%,7.20%,12.80%,3.60%,52.30%,66.9
LaMarcus Aldridge,BKN,47,4.1,35.80%,1.2,5,2.2,3.7,59.20%,60.60%,6.70%,5.20%,6.70%,1.50%,58.20%,68.1
Domantas Sabonis,IND,47,3.7,20.60%,1.33,4.9,1.9,3,64.70%,70.10%,15.10%,9.30%,15.10%,5.80%,61.60%,82.9
Dwight Powell,DAL,82,2,28.90%,1.42,2.8,1.1,1.5,71.20%,72.40%,21.30%,6.30%,21.30%,6.30%,69.40%,92.6
Wendell Carter Jr.,ORL,62,3.4,23.30%,1.06,3.6,1.5,2.9,50.30%,55.90%,8.20%,7.20%,8.20%,1.40%,49.50%,44
JaVale McGee,PHX,74,2.1,24.80%,1.4,2.9,1.2,1.7,73.00%,73.00%,19.00%,5.20%,18.30%,6.50%,71.20%,89.5
John Collins,ATL,54,2.7,18.60%,1.44,3.9,1.5,2.2,67.80%,72.70%,15.90%,5.50%,15.20%,4.80%,66.90%,94.6
Daniel Gafford,WAS,72,2.1,28.30%,1.32,2.8,1.2,1.9,65.90%,65.90%,11.90%,2.60%,11.90%,4.00%,66.20%,82.5
Anthony Davis,LAL,40,4.5,20.50%,1.06,4.8,2,3.9,52.60%,52.90%,11.20%,5.60%,10.10%,3.90%,53.10%,43.6
Jarrett Allen,CLE,56,2.6,19.40%,1.28,3.3,1.3,1.9,70.10%,70.10%,20.70%,11.70%,20.70%,6.20%,65.50%,78.5
Bam Adebayo,MIA,56,2.9,16.20%,1.12,3.3,1.3,2.4,54.90%,54.90%,17.00%,5.50%,16.40%,3.00%,57.60%,52.5
Naz Reid,MIN,77,2,25.00%,1.15,2.3,0.8,1.7,50.80%,57.00%,14.10%,6.40%,14.10%,2.60%,53.20%,59.1
Julius Randle,NYK,72,2.3,10.20%,0.99,2.3,0.9,2.1,43.30%,50.70%,6.50%,7.10%,6.50%,2.40%,42.60%,30
Giannis Antetokounmpo,MIL,67,1.8,6.80%,1.34,2.5,0.9,1.4,64.50%,66.70%,25.20%,4.90%,24.40%,5.70%,67.50%,85.2
Ivica Zubac,LAC,76,1.9,20.80%,1.11,2.2,0.8,1.4,58.30%,58.30%,20.30%,9.50%,19.60%,2.70%,58.10%,51.4
Damian Jones,SAC,56,2.1,31.20%,1.37,2.9,1.2,1.7,70.20%,71.80%,21.80%,7.60%,20.20%,8.40%,67.20%,87.2
Isaiah Hartenstein,LAC,68,1.9,24.90%,1.26,2.3,0.9,1.5,64.60%,66.70%,17.50%,8.70%,16.70%,4.80%,62.70%,75.9
Evan Mobley,CLE,69,2.4,15.40%,0.93,2.2,0.9,1.9,47.40%,50.00%,11.50%,9.70%,10.30%,1.80%,46.10%,22.6
Bobby Portis,MIL,72,1.9,13.40%,1.1,2.1,0.8,1.7,46.30%,57.70%,3.70%,7.40%,3.70%,1.50%,44.10%,48.2
Richaun Holmes,SAC,45,2.6,29.60%,1.27,3.3,1.4,2.2,65.70%,65.70%,13.70%,8.50%,13.70%,6.80%,62.40%,76.3
Kevin Love,CLE,74,1.5,12.10%,1.27,2,0.6,1.4,45.70%,61.90%,6.10%,1.80%,6.10%,0.00%,48.20%,77
Brandon Clarke,MEM,64,1.6,19.10%,1.41,2.3,1,1.4,72.40%,72.40%,18.60%,2.00%,17.60%,6.90%,72.50%,91.4
Trey Lyles,DET,51,2.4,24.30%,1.12,2.7,0.8,2,43.00%,53.00%,19.40%,4.00%,18.50%,4.00%,49.20%,54.5
Mike Muscala,OKC,43,2.1,32.20%,1.48,3.2,1,2,53.60%,72.00%,12.00%,2.20%,12.00%,5.40%,55.40%,96.5
Mitchell Robinson,NYK,72,1.3,19.80%,1.42,1.9,0.8,1.1,72.80%,72.80%,14.60%,3.10%,14.60%,2.10%,72.90%,92.2
Montrezl Harrell,WAS,46,2.3,20.10%,1.26,2.9,1.1,1.7,64.60%,64.60%,19.00%,8.60%,20.00%,3.80%,63.80%,75.5
Hassan Whiteside,UTA,65,1.4,20.50%,1.39,2,0.8,1.2,70.10%,70.10%,21.30%,3.20%,21.30%,6.40%,70.20%,89.1
Willy Hernangomez,NOP,50,2,22.80%,1.31,2.6,0.9,1.5,61.80%,63.80%,25.00%,6.00%,25.00%,7.00%,64.00%,81.7
Jaxson Hayes,NOP,70,1.3,16.90%,1.39,1.8,0.6,1,67.20%,67.90%,27.80%,7.80%,26.70%,10.00%,67.80%,88.2
Al Horford,BOS,69,1.9,19.10%,0.95,1.8,0.7,1.7,42.60%,49.10%,5.40%,7.00%,5.40%,1.60%,41.10%,25.3
Goga Bitadze,IND,50,1.9,28.80%,1.25,2.4,0.9,1.5,58.70%,66.00%,19.60%,6.20%,18.60%,3.10%,59.80%,71.2
Miles Bridges,CHA,80,1.3,6.80%,1.19,1.5,0.6,1.1,53.60%,56.00%,18.60%,3.90%,17.60%,4.90%,56.90%,65.4
Dewayne Dedmon,MIA,67,1.4,23.50%,1.25,1.8,0.8,1.2,65.40%,66.70%,14.60%,8.30%,14.60%,4.20%,61.50%,74
Alperen Sengun,HOU,72,1.7,15.80%,0.96,1.6,0.6,1.3,43.30%,49.00%,13.80%,10.60%,13.00%,3.30%,43.90%,26.1
Maxi Kleber,DAL,59,1.7,23.80%,1.14,2,0.7,1.6,43.60%,56.90%,6.80%,2.90%,5.80%,1.00%,44.70%,58
Isaiah Roby,OKC,45,2.2,24.00%,1.11,2.5,0.9,1.8,48.80%,56.10%,14.90%,6.90%,13.90%,3.00%,50.50%,51.8
Mason Plumlee,CHA,73,1.2,18.20%,1.22,1.5,0.6,0.9,72.30%,72.30%,24.20%,7.70%,24.20%,3.30%,65.90%,69.3
Jeremiah Robinson-Earl,OKC,49,2.5,31.80%,0.9,2.3,0.9,2.2,38.90%,49.10%,3.20%,9.70%,3.20%,0.00%,37.10%,18.7
Jeff Green,DEN,75,1.2,13.20%,1.21,1.5,0.5,1,51.40%,56.10%,17.80%,4.40%,16.70%,4.40%,55.60%,68.9
Jaren Jackson Jr.,MEM,78,1.4,8.50%,0.96,1.4,0.4,1.1,39.50%,47.70%,15.20%,8.90%,14.30%,0.90%,42.90%,27.2
Drew Eubanks,POR,22,3.5,28.00%,1.41,4.9,2.2,3,71.60%,72.40%,9.20%,5.30%,7.90%,2.60%,69.70%,90.7
LeBron James,LAL,56,1.3,4.70%,1.43,1.9,0.7,1.2,60.00%,69.20%,12.30%,1.40%,12.30%,2.70%,63.00%,93
P.J. Washington,CHA,65,1.4,14.50%,1.11,1.6,0.6,1.2,50.00%,59.40%,8.50%,9.60%,8.50%,3.20%,47.90%,51
Isaiah Jackson,IND,36,2.4,29.70%,1.2,2.8,1.2,2,63.40%,63.40%,12.90%,8.20%,12.90%,4.70%,61.20%,66.9
Nic Claxton,BKN,47,2,26.90%,1.1,2.2,0.9,1.6,57.50%,57.50%,17.20%,7.50%,17.20%,3.20%,57.00%,49
Onyeka Okongwu,ATL,48,1.5,22.20%,1.44,2.1,0.8,1,78.00%,78.00%,24.30%,8.60%,22.90%,4.30%,72.90%,94.9
Precious Achiuwa,TOR,73,1.4,13.40%,1.01,1.4,0.6,1.2,48.80%,53.50%,6.00%,9.00%,6.00%,1.00%,47.00%,39.3
JaMychal Green,DEN,67,1.6,25.30%,0.91,1.5,0.5,1.4,38.00%,45.10%,8.30%,8.30%,8.30%,0.90%,39.40%,20.2
Kristaps Porzingis,DAL,35,2.5,13.90%,1.1,2.8,0.9,2.1,44.40%,50.70%,15.90%,3.40%,14.80%,1.10%,51.10%,50.2
Robert Williams III,BOS,61,1.2,15.20%,1.33,1.6,0.7,1,67.80%,67.80%,16.70%,5.60%,16.70%,4.20%,68.10%,84.3
Isaiah Stewart,DET,71,1.4,15.60%,1,1.4,0.5,1.2,46.40%,49.40%,11.50%,6.30%,10.40%,5.20%,46.90%,33.2
Mo Bamba,ORL,71,1.4,13.90%,0.94,1.3,0.5,1.3,37.00%,48.40%,5.00%,4.00%,5.00%,0.00%,37.60%,23.7
Myles Turner,IND,42,1.9,16.50%,1.16,2.2,0.9,1.8,52.00%,59.30%,4.90%,4.90%,4.90%,2.50%,50.60%,61.5
Derrick Favors,OKC,39,2.2,42.90%,1.08,2.4,1.2,2,58.40%,58.40%,4.60%,5.70%,5.70%,0.00%,55.20%,45.9
Omer Yurtseven,MIA,56,1.5,26.30%,1.08,1.6,0.7,1.3,54.80%,54.80%,9.60%,7.20%,9.60%,4.80%,53.00%,47.1
Blake Griffin,BKN,56,1.6,23.70%,0.98,1.6,0.6,1.3,42.70%,47.30%,12.40%,5.60%,12.40%,2.20%,44.90%,28.8
Moritz Wagner,ORL,63,1.2,14.70%,1.08,1.3,0.5,1,47.60%,55.60%,12.00%,8.00%,10.70%,4.00%,48.00%,45.5
Kristaps Porzingis,WAS,17,3.8,18.80%,1.25,4.7,1.7,3.4,50.00%,60.30%,10.90%,3.10%,10.90%,4.70%,51.60%,74
Steven Adams,MEM,76,0.9,11.70%,1.15,1,0.4,0.8,59.60%,59.60%,18.80%,5.80%,18.80%,8.70%,56.50%,58.4
Chris Boucher,TOR,80,1,11.20%,1,1,0.3,0.8,39.40%,46.20%,15.20%,2.50%,13.90%,1.30%,46.80%,33.2
Kenyon Martin Jr.,HOU,79,0.8,9.50%,1.3,1,0.4,0.6,66.00%,69.00%,15.00%,6.70%,15.00%,5.00%,61.70%,80.5
Daniel Theis,HOU,26,2.7,31.10%,1.06,2.9,1.1,2.2,49.10%,56.10%,12.70%,9.90%,12.70%,2.80%,49.30%,43.2
