PLAYER,TEAM,GP,postup_POSS,postup_FREQ,postup_PPP,postup_PTS,postup_FGM,postup_FGA,postup_FG%,postup_EFG%,postup_FTFREQ,postup_TOVFREQ,postup_SFFREQ,postup_ANDONEFREQ,postup_SCOREFREQ,postup_PERCENTILE
Joel Embiid,PHI,68,7.8,28.00%,1.05,8.2,2.6,5.3,48.70%,48.70%,25.90%,11.10%,22.60%,4.70%,53.20%,76.9
Nikola Jokic,DEN,74,5.2,21.60%,1.17,6,2.5,3.9,62.90%,62.90%,14.90%,14.40%,11.80%,5.50%,57.10%,91.1
Jonas Valanciunas,NOP,74,4.5,26.90%,0.98,4.4,1.7,3.1,53.50%,53.50%,17.00%,17.00%,16.40%,2.70%,50.40%,62.7
Giannis Antetokounmpo,MIL,67,3.4,12.60%,1.01,3.4,1.3,2.4,54.40%,54.40%,18.40%,14.90%,16.20%,3.10%,51.80%,69.8
Karl-Anthony Towns,MIN,74,3.2,14.60%,0.92,3,1.1,2.1,52.50%,52.50%,15.50%,21.80%,13.00%,3.80%,46.20%,49.1
Nikola Vucevic,CHI,73,3.4,18.30%,0.87,2.9,1.3,2.7,48.70%,48.70%,6.90%,15.50%,6.10%,2.00%,43.70%,36.1
Jusuf Nurkic,POR,56,4.1,26.70%,0.85,3.5,1.3,2.9,45.70%,45.70%,16.50%,15.20%,14.80%,3.00%,44.80%,32
Deandre Ayton,PHX,58,3.2,21.90%,1.04,3.3,1.5,2.7,57.10%,57.10%,7.50%,9.10%,6.50%,0.50%,53.80%,76.3
LeBron James,LAL,56,3,10.70%,1.04,3.1,1.3,2.4,53.70%,53.70%,13.30%,9.60%,9.60%,4.80%,51.80%,75.1
Bam Adebayo,MIA,56,3,16.70%,0.98,3,1.1,2.2,48.00%,48.00%,20.00%,11.20%,18.80%,4.10%,49.40%,63.3
Luka Doncic,DAL,65,2.6,8.90%,0.93,2.4,0.9,2,46.90%,46.90%,15.90%,11.80%,13.50%,2.90%,47.10%,52.1
Carmelo Anthony,LAL,69,2.1,17.30%,1.06,2.2,0.8,1.6,51.40%,51.40%,17.80%,9.60%,14.40%,3.40%,53.40%,80.5
Julius Randle,NYK,72,3,12.90%,0.72,2.2,0.8,2,39.00%,39.00%,14.40%,20.50%,12.60%,2.80%,36.70%,13.6
Kevin Durant,BKN,55,2.5,9.10%,1.13,2.8,1,1.7,56.40%,56.40%,19.30%,14.10%,12.60%,3.00%,55.60%,86.4
Aaron Gordon,DEN,75,2.1,14.70%,0.97,2,0.9,1.7,52.70%,52.70%,9.60%,10.20%,7.00%,1.90%,49.00%,60.4
Alperen Sengun,HOU,72,2.3,20.80%,0.93,2.1,0.8,1.5,51.80%,51.80%,17.30%,17.90%,12.30%,3.10%,47.50%,50.9
Jaren Jackson Jr.,MEM,78,2.1,12.20%,0.93,1.9,0.6,1.4,45.00%,45.00%,20.00%,12.50%,16.30%,0.60%,48.80%,50
Evan Mobley,CLE,69,2.2,14.10%,0.97,2.1,0.9,1.7,50.40%,50.40%,13.90%,11.30%,11.90%,4.00%,48.30%,59.8
Jimmy Butler,MIA,58,2.5,12.70%,1,2.5,0.9,1.9,44.60%,44.60%,20.70%,6.90%,20.70%,4.80%,49.00%,68.1
Anthony Davis,LAL,40,3.7,16.80%,0.99,3.6,1.5,2.9,52.60%,52.60%,12.20%,12.90%,9.50%,4.10%,49.00%,63.9
Tobias Harris,PHI,73,1.9,11.30%,1.04,2,0.8,1.6,52.60%,52.60%,10.90%,8.00%,9.40%,1.40%,52.90%,74
