PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Keldon Johnson,SAS,75,6.2,38.60%,1.15,7.1,2.5,5.6,44.50%,58.10%,6.50%,4.30%,6.00%,1.50%,45.20%,84.1
Miles Bridges,CHA,80,5.7,30.10%,1.04,5.9,2.1,5.1,41.60%,51.90%,8.40%,4.40%,8.40%,3.50%,42.40%,62.4
Evan Fournier,NYK,80,4.9,35.50%,1.18,5.8,2.1,4.5,46.50%,62.00%,3.80%,6.60%,3.30%,1.00%,44.90%,87.6
Dorian Finney-Smith,DAL,80,5.3,52.00%,1.08,5.7,2,4.8,41.70%,58.10%,1.70%,7.10%,1.20%,0.00%,39.70%,70.7
Saddiq Bey,DET,82,5.3,32.50%,1.01,5.3,1.7,4.8,36.10%,50.80%,5.70%,4.40%,5.70%,0.90%,37.40%,55.2
Harrison Barnes,SAC,77,4.6,31.30%,1.2,5.5,1.7,3.8,45.70%,60.40%,15.10%,6.80%,14.00%,4.30%,47.90%,90.7
Georges Niang,PHI,76,4.9,57.90%,1.11,5.4,1.9,4.5,41.40%,57.20%,3.50%,4.80%,3.50%,1.10%,40.60%,76.9
Malik Beasley,MIN,79,4.5,39.50%,1.15,5.2,1.8,4.4,40.40%,58.60%,1.70%,3.10%,1.40%,0.60%,39.80%,83.7
Terry Rozier,CHA,73,5,27.50%,1.13,5.6,2,4.8,42.30%,56.40%,3.00%,1.90%,3.00%,1.60%,42.30%,81
Jaylen Brown,BOS,66,5.7,24.80%,1.08,6.2,2.1,5.1,41.20%,54.60%,7.40%,5.00%,6.90%,1.60%,42.30%,69.8
Mikal Bridges,PHX,82,4.6,37.70%,1.08,4.9,1.8,4.2,43.00%,55.20%,4.30%,5.30%,4.00%,1.60%,42.20%,69
Kelly Oubre Jr.,CHA,76,4.9,34.60%,1.07,5.3,1.8,4.5,40.00%,55.20%,4.80%,4.30%,5.10%,1.90%,39.70%,67.8
Cameron Johnson,PHX,66,4.8,45.30%,1.25,6,2,4.5,43.80%,62.80%,5.00%,2.80%,4.40%,1.60%,44.20%,93.6
Bojan Bogdanovic,UTA,69,4.8,28.90%,1.18,5.7,1.9,4.3,43.00%,59.40%,6.90%,4.20%,5.10%,0.60%,44.70%,88.4
Patty Mills,BKN,81,3.9,35.20%,1.21,4.7,1.6,3.7,42.30%,60.80%,2.60%,2.90%,2.20%,1.30%,41.90%,92.1
RJ Barrett,NYK,70,5.7,26.30%,0.92,5.3,1.7,5.1,34.20%,46.00%,8.20%,4.70%,7.50%,1.00%,36.80%,36
Kentavious Caldwell-Pope,WAS,77,4.4,34.40%,1.09,4.8,1.6,4.1,40.00%,54.60%,5.00%,4.10%,4.70%,2.10%,40.10%,72.3
Devin Vassell,SAS,71,5.1,42.20%,1.01,5.2,1.9,4.9,38.80%,50.90%,3.00%,3.30%,3.00%,1.10%,38.70%,56.4
Alec Burks,NYK,81,4.1,36.00%,1.1,4.5,1.5,3.6,41.40%,55.90%,8.40%,5.70%,7.20%,2.40%,41.90%,74.6
Jayson Tatum,BOS,76,4.3,16.50%,1.12,4.8,1.6,3.8,41.80%,55.80%,8.60%,5.80%,7.70%,1.80%,43.30%,78.5
Desmond Bane,MEM,76,3.9,23.50%,1.22,4.8,1.7,3.7,47.00%,63.20%,1.00%,4.40%,1.00%,0.00%,45.50%,92.8
Coby White,CHI,61,5.4,43.70%,1.1,5.9,2.1,5,41.80%,56.70%,3.30%,5.20%,3.30%,0.90%,41.00%,75.2
Andrew Wiggins,GSW,73,4.6,27.20%,1.08,4.9,1.7,4.2,40.70%,54.90%,6.00%,3.90%,5.70%,0.90%,42.10%,68.8
Karl-Anthony Towns,MIN,74,4.4,20.00%,1.11,4.9,1.6,3.6,45.50%,57.50%,11.40%,8.90%,10.20%,2.80%,45.80%,76.2
Tyrese Maxey,PHI,75,4.1,26.20%,1.14,4.7,1.7,3.8,45.10%,55.60%,7.10%,1.60%,7.10%,2.30%,47.10%,82.8
Marcus Smart,BOS,71,4.9,36.50%,1.01,5,1.7,4.6,37.30%,50.60%,4.60%,4.00%,4.60%,1.10%,37.40%,55.6
Jaren Jackson Jr.,MEM,78,4.8,28.60%,0.93,4.5,1.5,4.3,35.00%,45.80%,8.80%,4.00%,8.80%,2.40%,36.70%,37.2
Gary Trent Jr.,TOR,70,4.5,25.70%,1.09,4.9,1.8,4.4,40.20%,54.90%,2.20%,2.20%,2.20%,0.90%,40.10%,72.5
Tobias Harris,PHI,73,4.5,27.20%,1.01,4.6,1.7,4.1,41.00%,51.80%,4.50%,6.00%,4.20%,0.90%,40.40%,57.2
Jalen Brunson,DAL,79,3.7,24.10%,1.14,4.2,1.6,3.5,46.50%,57.10%,4.40%,3.80%,4.10%,1.40%,46.40%,81.8
LaMelo Ball,CHA,75,4.1,19.30%,1.07,4.4,1.5,3.7,39.10%,55.00%,3.60%,5.80%,2.90%,0.00%,39.00%,68.5
Jae Crowder,PHX,67,4.6,48.00%,1.08,4.9,1.7,4.2,39.80%,54.00%,5.20%,3.00%,4.90%,1.30%,40.70%,69.4
Kevin Huerter,ATL,74,3.8,32.10%,1.17,4.4,1.6,3.6,43.60%,61.30%,0.70%,4.60%,0.70%,0.40%,41.80%,87
Royce O'Neale,UTA,77,3.7,52.90%,1.09,4.1,1.4,3.3,41.90%,58.90%,3.80%,9.00%,3.10%,1.00%,39.60%,73.2
Kyle Kuzma,WAS,66,5,27.60%,0.94,4.7,1.7,4.3,38.20%,50.50%,5.70%,9.40%,5.70%,1.50%,37.20%,38.8
Danilo Gallinari,ATL,66,4,37.30%,1.18,4.7,1.6,3.7,43.90%,58.80%,4.90%,3.40%,4.60%,1.10%,44.50%,88.2
Kevin Love,CLE,74,3.7,29.20%,1.13,4.2,1.3,3.4,39.00%,56.40%,5.10%,4.40%,4.70%,0.70%,39.60%,80.4
Bogdan Bogdanovic,ATL,63,4.1,28.40%,1.18,4.9,1.7,3.9,44.90%,60.00%,3.50%,3.50%,3.50%,1.20%,44.60%,88.6
Grayson Allen,MIL,66,3.7,38.20%,1.25,4.6,1.6,3.5,45.20%,63.30%,3.30%,2.90%,3.30%,0.00%,45.70%,94.2
Lauri Markkanen,CLE,61,5,37.00%,1,5,1.6,4.7,35.20%,50.40%,4.20%,3.90%,3.60%,1.00%,35.90%,53.7
Devonte' Graham,NOP,76,3.8,29.40%,1.07,4,1.4,3.6,37.70%,54.80%,1.40%,3.50%,1.40%,0.70%,36.80%,67.4
Luguentz Dort,OKC,51,6.3,35.90%,0.94,6,2.1,5.6,36.90%,48.10%,5.90%,6.50%,4.00%,1.60%,37.30%,39.3
Lonnie Walker IV,SAS,70,4.3,33.00%,1.01,4.3,1.5,3.8,39.20%,52.90%,6.00%,6.70%,6.00%,1.00%,39.60%,57.9
Jordan Clarkson,UTA,79,4.4,26.40%,0.88,3.8,1.4,4,34.50%,45.70%,2.90%,6.10%,2.30%,0.30%,34.00%,28.3
Darius Bazley,OKC,69,4.5,38.40%,0.96,4.3,1.5,4,37.80%,50.00%,5.80%,6.70%,5.80%,1.60%,37.50%,44.4
Grant Williams,BOS,77,3.4,48.40%,1.14,3.8,1.3,3,42.30%,60.00%,3.90%,7.30%,3.50%,1.50%,40.50%,82.4
Reggie Bullock,DAL,68,3.8,47.90%,1.12,4.3,1.5,3.7,40.40%,57.40%,1.50%,3.10%,1.10%,0.40%,39.80%,79.8
Julius Randle,NYK,72,4.8,20.90%,0.83,4,1.4,4.1,33.80%,43.30%,7.80%,9.20%,6.00%,1.10%,34.50%,21.5
Corey Kispert,WAS,77,3.4,44.10%,1.11,3.7,1.3,3.2,40.90%,57.50%,0.80%,4.20%,0.80%,0.40%,39.40%,76.7
Herbert Jones,NOP,78,3.7,38.80%,0.98,3.6,1.3,3.2,41.00%,51.00%,6.60%,8.70%,5.90%,1.40%,40.50%,50
Pat Connaughton,MIL,65,3.7,43.80%,1.16,4.3,1.5,3.6,41.20%,59.70%,0.80%,3.30%,0.80%,0.40%,40.10%,85.5
Norman Powell,POR,40,5.3,31.10%,1.27,6.8,2.4,4.8,49.70%,64.40%,7.90%,3.70%,6.50%,0.90%,50.90%,95.2
Bobby Portis,MIL,72,3.6,25.50%,1.05,3.8,1.4,3.4,39.90%,54.20%,0.40%,3.50%,0.40%,0.00%,38.80%,64.9
Jaden McDaniels,MIN,70,3.9,41.90%,0.98,3.9,1.4,3.6,39.70%,52.20%,2.20%,7.60%,2.20%,1.50%,37.10%,49.5
Carmelo Anthony,LAL,69,3.8,31.40%,1.01,3.9,1.4,3.6,37.50%,51.20%,3.00%,3.80%,3.00%,1.50%,37.00%,56.8
Deni Avdija,WAS,82,3.5,40.10%,0.92,3.3,1.1,3.2,36.30%,48.50%,3.40%,7.60%,2.40%,0.30%,35.50%,36.4
Luke Kennard,LAC,70,2.9,27.80%,1.33,3.8,1.3,2.7,48.40%,68.40%,2.00%,4.50%,2.00%,0.50%,47.00%,97.3
Nicolas Batum,LAC,59,3.6,48.00%,1.26,4.5,1.6,3.4,45.30%,65.00%,0.90%,3.80%,0.90%,0.50%,43.90%,94.6
Landry Shamet,PHX,69,3.3,40.80%,1.17,3.8,1.2,3,41.00%,58.10%,5.30%,3.50%,5.30%,1.30%,41.90%,86.2
Jalen Green,HOU,67,3.5,19.70%,1.14,4,1.4,3.2,43.70%,58.90%,3.90%,5.60%,3.40%,0.90%,42.90%,82
