PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Giannis Antetokounmpo,MIL,67,7.4,27.60%,1.14,8.5,2.7,4.6,58.40%,61.80%,30.70%,13.60%,28.30%,6.80%,57.50%,52.5
Devin Booker,PHX,68,5.2,20.30%,1.21,6.3,2.2,4.1,52.50%,61.50%,14.80%,8.50%,12.50%,3.40%,53.40%,67.3
LeBron James,LAL,56,6.3,22.70%,1.18,7.4,2.9,4.6,63.80%,67.30%,16.20%,16.50%,15.10%,6.00%,56.10%,60.5
Ja Morant,MEM,57,5.3,19.20%,1.21,6.4,2.4,3.8,63.10%,66.60%,19.70%,12.30%,16.70%,3.30%,60.00%,67.5
RJ Barrett,NYK,70,4.6,20.90%,1.11,5.1,1.8,3.4,53.30%,57.30%,20.00%,8.10%,19.40%,3.80%,54.10%,47.5
Anthony Edwards,MIN,72,3.9,18.10%,1.24,4.8,1.8,3.1,59.00%,66.40%,13.20%,10.00%,12.50%,2.90%,56.40%,73.3
Desmond Bane,MEM,76,3.8,23.10%,1.18,4.5,1.6,3.2,48.80%,60.00%,10.30%,8.20%,9.60%,2.70%,48.60%,60.3
LaMelo Ball,CHA,75,4,18.80%,1.12,4.5,1.5,3,50.90%,63.10%,11.30%,16.30%,9.00%,3.00%,46.70%,50.3
Jayson Tatum,BOS,76,3.5,13.60%,1.25,4.4,1.6,2.7,60.10%,64.30%,16.80%,10.40%,15.30%,3.00%,59.00%,74.1
Jaylen Brown,BOS,66,4.8,20.60%,1.05,5,2,3.6,54.40%,56.50%,15.00%,13.40%,13.70%,4.50%,51.00%,35.1
Mikal Bridges,PHX,82,2.9,24.10%,1.37,4,1.6,2.4,65.00%,70.80%,13.40%,6.70%,13.40%,3.80%,63.60%,89.2
Zach LaVine,CHI,67,3.8,16.80%,1.28,4.8,1.8,2.7,66.80%,70.40%,17.40%,14.20%,16.60%,4.70%,61.30%,78
Will Barton,DEN,71,3.8,24.80%,1.18,4.4,1.6,2.9,53.40%,64.20%,12.30%,11.60%,11.90%,1.90%,51.50%,58.7
Pascal Siakam,TOR,68,4.2,18.20%,1.11,4.6,1.7,2.9,58.20%,60.60%,19.80%,15.20%,18.00%,3.50%,55.10%,48.7
Trae Young,ATL,76,3.7,13.50%,1.08,4,1.3,2.6,49.70%,56.80%,15.70%,15.00%,10.70%,2.10%,48.90%,42.1
Terry Rozier,CHA,73,3.8,21.10%,1.07,4.1,1.5,3.4,45.20%,54.20%,7.50%,6.50%,6.80%,2.90%,44.80%,40.9
Malik Monk,LAL,76,3.2,24.10%,1.24,3.9,1.5,2.6,57.40%,67.40%,9.20%,11.30%,7.90%,1.70%,54.20%,73.5
Miles Bridges,CHA,80,3.1,16.70%,1.19,3.7,1.4,2.3,58.90%,63.80%,15.50%,12.40%,13.50%,2.00%,56.60%,61.9
